order,date,closing_price,trading_volume,number_of_issued_shares,revenue,NetIncome
756,2018-01-26,50780,207002,129098494,605637.1,116885.4
757,2018-01-29,51220,236776,129098494,605637.1,116885.4
758,2018-01-30,49800,245691,129098494,605637.1,116885.4
759,2018-01-31,49900,1293626,129098494,605637.1,116885.4
760,2018-02-01,49820,552189,129098494,605637.1,116885.4
761,2018-02-02,47700,585207,129098494,605637.1,116885.4
762,2018-02-05,47920,567158,129098494,605637.1,116885.4
763,2018-02-06,47420,388129,129098494,605637.1,116885.4
764,2018-02-07,45800,468961,129098494,605637.1,116885.4
765,2018-02-08,46000,465021,128386494,605637.1,116885.4
766,2018-02-09,44700,349300,128386494,605637.1,116885.4
767,2018-02-12,45720,315099,128386494,605637.1,116885.4
768,2018-02-13,47540,378465,128386494,605637.1,116885.4
769,2018-02-14,49000,378118,128386494,605637.1,116885.4
770,2018-02-19,48380,307069,128386494,605637.1,116885.4
771,2018-02-20,47400,202452,128386494,605637.1,116885.4
772,2018-02-21,47280,257604,128386494,605637.1,116885.4
773,2018-02-22,46760,177399,128386494,605637.1,116885.4
774,2018-02-23,47220,248466,128386494,605637.1,116885.4
775,2018-02-26,47380,191213,128386494,605637.1,116885.4
776,2018-02-27,47380,196611,128386494,605637.1,116885.4
777,2018-02-28,47060,303247,128386494,605637.1,116885.4
778,2018-03-02,46020,265310,128386494,605637.1,116885.4
779,2018-03-05,45200,282019,128386494,605637.1,116885.4
780,2018-03-06,47020,308467,128386494,605637.1,116885.4
781,2018-03-07,48620,428541,128386494,605637.1,116885.4
782,2018-03-08,49200,389273,128386494,605637.1,116885.4
783,2018-03-09,49740,286088,128386494,605637.1,116885.4
784,2018-03-12,49740,173779,128386494,605637.1,116885.4
785,2018-03-13,51660,401974,128386494,605637.1,116885.4
786,2018-03-14,51760,254265,128386494,605637.1,116885.4
787,2018-03-15,51540,177649,128386494,605637.1,116885.4
788,2018-03-16,51140,243698,128386494,605637.1,116885.4
789,2018-03-19,50740,164377,128386494,605637.1,116885.4
790,2018-03-20,51200,163865,128386494,605637.1,116885.4
791,2018-03-21,51060,178104,128386494,605637.1,116885.4
792,2018-03-22,51780,169082,128386494,605637.1,116885.4
793,2018-03-23,49720,297099,128386494,605637.1,116885.4
794,2018-03-26,50280,201155,128386494,605637.1,116885.4
795,2018-03-27,49980,237480,128386494,605637.1,116885.4
796,2018-03-28,48700,303189,128386494,605637.1,116885.4
797,2018-03-29,49040,201340,128386494,605637.1,116885.4
798,2018-03-30,49220,155542,128386494,605637.1,116885.4
799,2018-04-02,48540,142313,128386494,584826.6,110434.1
800,2018-04-03,48120,255365,128386494,584826.6,110434.1
801,2018-04-04,46920,247684,128386494,584826.6,110434.1
802,2018-04-05,48740,264912,128386494,584826.6,110434.1
803,2018-04-06,48400,250654,128386494,584826.6,110434.1
804,2018-04-09,49200,199008,128386494,584826.6,110434.1
805,2018-04-10,48880,219687,128386494,584826.6,110434.1
806,2018-04-11,48860,201022,128386494,584826.6,110434.1
807,2018-04-12,49000,249325,128386494,584826.6,110434.1
808,2018-04-13,49800,205566,128386494,584826.6,110434.1
809,2018-04-16,50340,157549,128386494,584826.6,110434.1
810,2018-04-17,49980,155440,128386494,584826.6,110434.1
811,2018-04-18,51360,269252,128386494,584826.6,110434.1
812,2018-04-19,52780,343811,128386494,584826.6,110434.1
813,2018-04-20,51620,235220,128386494,584826.6,110434.1
814,2018-04-23,51900,232380,128386494,584826.6,110434.1
815,2018-04-24,50460,315406,128386494,584826.6,110434.1
816,2018-04-25,50400,332292,128386494,584826.6,110434.1
817,2018-04-26,52140,360931,128386494,584826.6,110434.1
818,2018-04-27,53000,606216,128386494,584826.6,110434.1
819,2018-04-30,53000,0,128386494,584826.6,110434.1
820,2018-05-02,53000,0,128386494,584826.6,110434.1
821,2018-05-03,53000,0,128386494,584826.6,110434.1
